field	value	known_to_og_impkimmo
root	`contrast	NO
root	con`trast	NO
root	contra`vene	NO
root	contra`vention	NO
root	`contretemps	NO
root	con`tribute	NO
root	`contrite	NO
root	con`trive	NO
root	con`trol	NO
root	`controversy	NO
root	`controvert	NO
root	con`tumacy	NO
root	con`tuse	NO
root	co`nundrum	NO
root	conva`lesce	NO
root	con`vect	NO
root	con`vene	NO
root	con`venient	NO
root	`convent	NO
root	con`verge	NO
root	con`verse	NO
root	`convert	NO
root	con`vert	NO
root	con`vex	NO
root	con`vey	NO
root	`convict	NO
root	con`vict	NO
root	con`vince	NO
root	con`vivial	NO
root	con`voke	NO
root	`convolute	NO
root	con`volve	NO
root	`convoy	NO
root	con`vulse	NO
root	`cony	NO
root	`cookbook	NO
root	`cookie	NO
root	`cook	NO
root	`cooky	NO
root	`coolie	NO
root	`cool	NO
root	`coon	NO
root	`coo	NO
root	co`operate	NO
root	`coop	NO
root	co`ordinate	NO
root	`cootie	NO
root	`coot	NO
root	`Copenhagen	NO
root	`cope	NO
root	Co`pernicus	NO
root	`copious	NO
root	`cop	NO
root	`copperhead	NO
root	`copper	NO
root	`copra	NO
root	`copter	NO
root	`copulate	NO
root	`copybook	NO
root	`copycat	NO
root	`copy	NO
root	`copyright	NO
root	`copywriter	NO
root	co`quet	NO
root	co`quette	NO
root	co`quina	NO
root	`coral	NO
root	`corbel	NO
root	`cordial	NO
root	`cordite	NO
root	`cord	NO
root	`cordon	NO
root	`corduroy	NO
root	`core	NO
root	cori`ander	NO
root	`Corinth	NO
root	`cork	NO
root	`corkscrew	NO
root	`cormorant	NO
root	`cornbread	NO
root	`cornea	NO
root	`corner	NO
root	`cornerstone	NO
root	cor`net	NO
root	`cornfield	NO
root	`cornflower	NO
root	`cornmeal	NO
root	`corn	NO
root	`cornstarch	NO
root	cornu`copia	NO
root	`Cornwall	NO
root	`corollary	NO
root	co`rona	NO
root	`coronary	NO
root	coro`nation	NO
root	`coroner	NO
root	coro`net	NO
root	corpora-delicti	NO
root	`corporal	NO
root	`corporate	NO
root	corpor`ation	NO
root	cor`poreal	NO
root	`corpse	NO
root	`corps	NO
root	`corpulent	NO
root	`corpuscle	NO
root	corpus-delicti	NO
root	`corpus	NO
root	cor`ral	NO
root	cor`rect	NO
root	`correlate	NO
root	corres`pond	NO
root	`corridor	NO
root	corri`gendum	NO
root	`corrigible	NO
root	cor`roborate	NO
root	corrobor`ee	NO
root	cor`rode	NO
root	`corrugate	NO
root	cor`rupt	NO
root	cor`sage	NO
root	`corset	NO
root	cor`tege	NO
root	`cortex	NO
root	`cortical	NO
root	co`rundum	NO
root	co`ruscate	NO
root	cor`vette	NO
root	`cosine	NO
root	cos`metic	NO
root	`cosmic	NO
root	cos`mogony	NO
root	cos`mology	NO
root	cosmo`politan	NO
root	`cosmos	NO
root	`cost	NO
root	`costume	NO
root	`cosy	NO
root	`cot	NO
root	`cotoneaster	NO
root	`cottage	NO
root	`cottonmouth	NO
root	`cotton	NO
root	`cottonseed	NO
root	`cottonwood	NO
root	`couch	NO
root	`cougar	NO
root	`cough	NO
root	could	NO
root	`coulomb	NO
root	`council	NO
root	`counsel	NO
root	`countdown	NO
root	`countenance	NO
root	`counterfeit	NO
root	`countermand	NO
root	`counter	NO
root	counter`vail	NO
root	`count	NO
root	`country	NO
root	`countryside	NO
root	`countrywide	NO
root	`county	NO
root	`countywide	NO
root	coup-de-grace	NO
root	coup-d'etat	NO
root	`coupe	NO
root	`couple	NO
root	`coup	NO
root	`coupon	NO
root	`courage	NO
root	`courier	NO
root	`course	NO
root	`courteous	NO
root	`courtesan	NO
root	`courtesy	NO
root	`courthouse	NO
root	`courtier	NO
root	`court	NO
root	`courtroom	NO
root	`courtyard	NO
root	`couscous	NO
root	`cousin	NO
root	cou`turier	NO
root	co`valent	NO
root	co`varient	NO
root	`covenant	NO
root	`coven	NO
root	`cove	NO
root	`coverall	NO
root	`cover	NO
root	`covert	NO
root	`covet	NO
root	`cowardice	NO
root	`coward	NO
root	`cowbell	NO
root	`cowbird	NO
root	`cowboy	NO
root	`cower	NO
root	`cowgirl	NO
root	`cowhand	NO
root	`cowherd	NO
root	`cowhide	NO
root	`cowlick	NO
root	`cowling	NO
root	`cowl	NO
root	`cow	NO
root	`cowpea	NO
root	`cowpoke	NO
root	`cowpony	NO
root	`cowpox	NO
root	`cowpunch	NO
root	`cowry	NO
root	`cowslip	NO
root	`coxcomb	NO
root	`coy	NO
root	co`yote	NO
root	`cozen	NO
root	`cozy	NO
root	`crabapple	NO
root	`crabmeat	NO
root	`crab	NO
root	`crackdown	NO
root	`crackle	NO
root	`crack	NO
root	`crackpot	NO
root	`cradle	NO
root	`craft	NO
root	`craftsman	NO
root	`craftspeople	NO
root	`craftsperson	NO
root	`crafty	NO
root	`crag	NO
root	`cram	NO
root	`cramp	NO
root	`cranberry	NO
root	`crane	NO
root	`cranium	NO
root	`crankcase	NO
root	`crank	NO
root	`crankshaft	NO
root	`cranny	NO
root	`crape	NO
root	`crap	NO
root	`crash	NO
root	`crass	NO
root	`crate	NO
root	`crater	NO
root	cra`vat	NO
root	`craven	NO
root	`crave	NO
root	`crawl	NO
root	`crawlspace	NO
root	`craw	NO
root	`crayfish	NO
root	`crayon	NO
root	`craze	NO
root	`crazy	NO
root	`creak	NO
root	`cream	NO
root	`crease	NO
root	cre`ate	NO
root	`creche	NO
root	`credence	NO
root	cre`dential	NO
root	cre`dentials	NO
root	`credent	NO
root	cre`denza	NO
root	`credible	NO
root	`credit	NO
root	`credo	NO
root	cre`dulity	NO
root	`credulous	NO
root	`creed	NO
root	`creek	NO
root	`creekside	NO
root	`creep	NO
root	`cremate	NO
root	creme-de-la-creme	NO
root	`Creole	NO
root	`creosote	NO
root	`crepe	NO
root	cres`cendo	NO
root	`crescent	NO
root	`cress	NO
root	`crestfallen	NO
root	`crest	NO
root	cre`taceous	NO
root	`Crete	NO
root	`cretin	NO
root	`crevice	NO
root	`crewcut	NO
root	`crewel	NO
root	`crew	NO
root	`crib	NO
root	`cricket	NO
root	`crick	NO
root	`crime	NO
root	`crimp	NO
root	`crimson	NO
root	`cringe	NO
root	`crinkle	NO
root	`cripple	NO
root	`crisis	NO
root	`crisp	NO
root	`criss-cross	NO
root	`crisscross	NO
root	cri`terion	NO
root	`critic	NO
root	cri`tique	NO
root	`critter	NO
root	`croak	NO
root	Cro`atia	NO
root	`Croat	NO
root	cro`chet	NO
root	`crock	NO
root	`crocodile	NO
root	`crocus	NO
root	`croft	NO
root	`crone	NO
root	`crony	NO
root	`crooked	NO
root	`crook	NO
root	`croon	NO
root	`cropland	NO
root	`crop	NO
root	cro`quet	NO
root	`crossarm	NO
root	`crossbar	NO
root	`crossbill	NO
root	`crossbow	NO
root	`crosscut	NO
root	cross-ex`amine	NO
root	`crosshatch	NO
root	`crosslink	NO
root	`cross	NO
root	`crossover	NO
root	`crosspoint	NO
root	`crossroad	NO
root	`crossroads	NO
root	`crosstalk	NO
root	`crosswalk	NO
root	`crossway	NO
root	`crossword	NO
root	`crotchet	NO
root	`crotch	NO
root	`crouch	NO
root	`croupier	NO
root	`crowbar	NO
root	`crowd	NO
root	`crowfoot	NO
root	`crown	NO
root	`crow	NO
root	`crucial	NO
root	`crucible	NO
root	`crucifix	NO
root	`crucify	NO
root	`crude	NO
root	`crud	NO
root	`cruel	NO
root	`cruet	NO
root	`cruise	NO
root	`crumble	NO
root	`crumb	NO
root	`crummy	NO
root	`crumple	NO
root	`crump	NO
root	`crunch	NO
root	`crupper	NO
root	cru`sade	NO
root	`crush	NO
root	`crust	NO
root	`crutch	NO
root	`crux	NO
root	`cry	NO
root	cryo`genic	NO
root	`cryostat	NO
root	crypta`nalysis	NO
root	crypt`analyst	NO
root	crypt`analyze	NO
root	`cryptic	NO
root	`crypt	NO
root	`cryptogram	NO
root	cryp`tography	NO
root	cryp`tology	NO
root	crystal`lography	NO
root	`crystal	NO
root	`Cuba	NO
root	`cubbyhole	NO
root	`cube	NO
root	`cubicle	NO
root	`cubit	NO
root	`cub	NO
root	`cuckoo	NO
root	`cucumber	NO
root	`cuddle	NO
root	`cudgel	NO
root	`cud	NO
root	`cue	NO
root	`cufflink	NO
root	`cuff	NO
root	cui`sine	NO
root	`culinary	NO
root	`cull	NO
root	`culminate	NO
root	`culpable	NO
root	`culprit	NO
root	`cultivate	NO
root	`cult	NO
root	`culture	NO
root	`culvert	NO
root	`cumbersome	NO
root	`cumbrous	NO
root	`cumin	NO
root	cum-laude	NO
root	`cumulate	NO
root	`cumulus	NO
root	`cunning	NO
root	`cupboard	NO
root	`cupid	NO
root	`cup	NO
root	`cupola	NO
root	`cupric	NO
root	`cuprous	NO
root	`curate	NO
root	`curb	NO
root	`curbside	NO
root	`curdle	NO
root	`curd	NO
root	`cure	NO
root	`curfew	NO
root	`curia	NO
root	`curie	NO
root	`curio	NO
root	`curious	NO
root	`curium	NO
root	`curlew	NO
root	`curlicue	NO
root	`curl	NO
root	cur`mudgeon	NO
root	`cur	NO
root	`currant	NO
root	`current	NO
root	cur`ricular	NO
root	cur`riculum	NO
root	`curry	NO
root	`curse	NO
root	`cursive	NO
root	`cursor	NO
root	`cursory	NO
root	cur`tail	NO
root	`curtain	NO
root	`curt	NO
root	`curtsey	NO
root	cur`vaceous	NO
root	`curve	NO
root	curvi`linear	NO
root	`cushion	NO
root	`cusp	NO
root	`cuss	NO
root	`custard	NO
root	`custody	NO
root	`customer	NO
root	`customhouse	NO
root	`custom	NO
root	cu`taneous	NO
root	`cutback	NO
root	`cute	NO
root	`cutesy	NO
root	`cutlass	NO
root	`cutler	NO
root	`cut	NO
root	`cutoff	NO
root	`cutout	NO
root	`cutover	NO
root	`cutthroat	NO
root	`cuttlefish	NO
root	`cutworm	NO
root	`cyanate	NO
root	cy`anic	NO
root	`cyanide	NO
root	cyber`netic	NO
root	`cycle	NO
root	`cycloid	NO
root	`cyclone	NO
root	cyclo`pean	NO
root	cyclo`rama	NO
root	`cyclotron	NO
root	`cygnet	NO
root	`cylinder	NO
root	`cymbal	NO
root	`cynic	NO
root	`cypress	NO
root	`Cypriot	NO
root	`Cyprus	NO
root	`cyst	NO
root	cyto`chemistry	NO
root	cy`tology	NO
root	cy`tolysis	NO
root	`cytoplasm	NO
root	cza`rina	NO
root	`czar	NO
root	`Czech	NO
root	Czechoslo`vakia	NO
root	Czecho`slovak	NO
root	`dabble	NO
root	`dab	NO
root	`dachshund	NO
root	`dactyl	NO
root	`daddy	NO
root	`dad	NO
root	`daffodil	NO
root	`daffy	NO
root	`daft	NO
root	`dagger	NO
root	`dahlia	NO
root	`dainty	NO
root	`dairy	NO
root	`dais	NO
root	`daisy	NO
root	Da`kota	NO
root	`dale	NO
root	`Dallas	NO
root	`dally	NO
root	`damage	NO
root	Da`mascus	NO
root	`damask	NO
root	`dame	NO
root	`damn	NO
root	damn	NO
root	`dam	NO
root	`damp	NO
root	`damsel	NO
root	`dance	NO
root	`dandelion	NO
root	`dandruff	NO
root	`dandy	NO
root	`Dane	NO
root	`danger	NO
root	`dangle	NO
root	dang	NO
root	`dank	NO
root	`Danube	NO
root	`dapper	NO
root	`dapple	NO
root	`daredevil	NO
root	`dare	NO
root	dare`say	NO
root	`darkle	NO
root	`dark	NO
root	`darling	NO
root	`darn	NO
root	`dart	NO
root	`Darwin	NO
root	`dashboard	NO
root	`dash	NO
root	`dastard	NO
root	`database	NO
root	`dateline	NO
root	`date	NO
root	`datum	NO
root	`daub	NO
root	`daughter	NO
root	`daunt	NO
root	dau`phine	NO
root	`dauphin	NO
root	`davenport	NO
root	`davit	NO
root	`dawn	NO
root	`daybed	NO
root	`daybreak	NO
root	`daydream	NO
root	`daylight	NO
root	`daylong	NO
root	`day	NO
root	`daytime	NO
root	`daze	NO
root	`dazzle	NO
root	`deacon	NO
root	`deadhead	NO
root	`deadline	NO
root	`deadlock	NO
root	`dead	NO
root	`deadwood	NO
root	`deaf	NO
root	`deal	NO
root	`dean	NO
root	`dear	NO
root	`dearth	NO
root	`deathbed	NO
root	`death	NO
root	de`bacle	NO
root	de`base	NO
root	de`bate	NO
root	de`bauch	NO
root	de`benture	NO
root	de`bilitate	NO
root	de`bility	NO
root	`debit	NO
root	debo`nair	NO
root	de`bris	NO
root	`debt	NO
root	`debtor	NO
root	`debutante	NO
root	de`but	NO
root	`decade	NO
root	`decadent	NO
root	`decal	NO
root	de`cant	NO
root	de`capitate	NO
root	de`cathlon	NO
root	de`cay	NO
root	de`cease	NO
root	de`cedent	NO
root	de`ceit	NO
root	de`ceive	NO
root	De`cember	NO
root	de`cennial	NO
root	`decent	NO
root	`decibel	NO
root	de`cide	NO
root	de`ciduous	NO
root	`decile	NO
root	de`cillion	NO
root	`decimal	NO
root	`decimate	NO
root	`deck	NO
root	de`claim	NO
root	de`clare	NO
root	de`cline	NO
root	de`clivity	NO
root	de`coct	NO
root	decolle`tage	NO
root	`decorate	NO
root	de`cor	NO
root	`decorous	NO
root	de`corticate	NO
root	de`corum	NO
root	`decoy	NO
root	`decrease	NO
root	de`crease	NO
root	de`cree	NO
root	`decrement	NO
root	de`crepit	NO
root	de`crepitude	NO
root	de`cry	NO
root	de`crypt	NO
root	`dedicate	NO
root	de`duce	NO
root	de`duct	NO
root	`deed	NO
root	`deem	NO
root	deep`freeze	NO
root	`deep	NO
root	`deer	NO
root	`deerskin	NO
root	`deerstalker	NO
root	de`face	NO
root	de-facto	NO
root	de`fame	NO
root	de`fault	NO
root	de`feat	NO
root	`defecate	NO
root	`defect	NO
root	de`fect	NO
root	de`fence	NO
root	de`fend	NO
root	de`fense	NO
root	`deferent	NO
root	de`fer	NO
root	de`ficient	NO
root	`deficit	NO
root	de`file	NO
root	de`fine	NO
root	`definite	NO
root	de`flate	NO
root	de`flect	NO
root	de`foliate	NO
root	de`form	NO
root	de`fraud	NO
root	de`fray	NO
root	`deft	NO
root	de`funct	NO
root	de`fuse	NO
root	de`fy	NO
root	de`generate	NO
root	de`grade	NO
root	de`gree	NO
root	`deify	NO
root	`deign	NO
root	`deity	NO
root	deja-vu	NO
root	de`ject	NO
root	de-jure	NO
root	`Delaware	NO
root	de`lay	NO
root	de`lectable	NO
root	de`lectate	NO
root	`delegate	NO
root	de`lete	NO
root	dele`terious	NO
root	`Delhi	NO
root	de`liberate	NO
root	`delicate	NO
root	delica`tessen	NO
root	de`licious	NO
root	de`light	NO
root	de`limit	NO
root	de`lineament	NO
root	de`lineate	NO
root	de`linquent	NO
root	deli`quesce	NO
root	de`lirious	NO
root	de`lirium	NO
root	de`liver	NO
root	`dell	NO
root	del`phinium	NO
root	`Delphi	NO
root	`delta	NO
root	`deltoid	NO
root	de`lude	NO
root	`deluge	NO
root	de`luxe	NO
root	`delve	NO
root	`demagogue	NO
root	de`mand	NO
root	de`marcate	NO
root	de`mark	NO
root	de`mean	NO
root	de`meanor	NO
root	de`meanour	NO
root	de`mented	NO
root	de`merit	NO
root	`demigod	NO
root	`demijohn	NO
root	de`miscible	NO
root	de`mise	NO
root	de`mit	NO
root	`democrat	NO
root	de`mography	NO
root	de`molish	NO
root	de`moniac	NO
root	`demon	NO
root	`demo	NO
root	`demonstrate	NO
root	de`mote	NO
root	de`mure	NO
root	de`mur	NO
root	de`nature	NO
root	`dendrite	NO
root	`denigrate	NO
root	`denizen	NO
root	`Denmark	NO
root	`den	NO
root	de`note	NO
root	denoue`ment	NO
root	de`nounce	NO
root	`dense	NO
root	densi`tometer	NO
root	`dental	NO
root	`dentist	NO
root	`dentistry	NO
root	`dent	NO
root	`denture	NO
root	de`numerate	NO
root	`Denver	NO
root	de`ny	NO
root	deoxyribonu`cleic	NO
root	de`partment	NO
root	de`part	NO
root	de`pend	NO
root	de`pict	NO
root	de`plete	NO
root	de`plore	NO
root	de`ploy	NO
root	de`port	NO
root	de`pose	NO
root	depo`sition	NO
root	de`posit	NO
root	`depot	NO
root	de`prave	NO
root	`deprecate	NO
root	de`preciate	NO
root	`depredate	NO
root	de`press	NO
root	de`prive	NO
root	de`pute	NO
root	`deputy	NO
root	de`rail	NO
root	de`range	NO
root	de`rate	NO
root	`derby	NO
root	`derelict	NO
root	de`ride	NO
root	de-rigueur	NO
root	`derivate	NO
root	de`rive	NO
root	derma`tology	NO
root	`derogate	NO
root	`derrick	NO
root	derri`ere	NO
root	`dervish	NO
root	`descant	NO
root	des`cend	NO
root	des`cent	NO
root	de`scribe	NO
root	des`cribe	NO
root	de`scry	NO
root	`desecrate	NO
root	`desert	NO
root	de`sert	NO
root	de`serve	NO
root	`desicate	NO
root	deside`ratum	NO
root	`designate	NO
root	de`sign	NO
root	de`sire	NO
root	de`sist	NO
root	`desk	NO
root	`desktop	NO
root	`desolate	NO
root	de`sorb	NO
root	de`spair	NO
root	des`pair	NO
root	despe`rado	NO
root	de`spise	NO
root	des`pise	NO
root	de`spite	NO
root	de`spoil	NO
root	de`spond	NO
root	des`pond	NO
root	`despot	NO
root	des`sert	NO
root	`destine	NO
root	`destiny	NO
root	`destitute	NO
root	de`stroy	NO
root	de`struct	NO
root	de`suetude	NO
root	de`sultory	NO
root	de`tach	NO
root	`detail	NO
root	de`tail	NO
root	de`tain	NO
root	de`tect	NO
root	de`tente	NO
root	`detent	NO
root	de`tergent	NO
root	de`teriorate	NO
root	de`termine	NO
root	de`terminism	NO
root	de`terminist	NO
root	de`ter	NO
root	de`test	NO
root	`detonate	NO
root	`detour	NO
root	de`tract	NO
root	`detriment	NO
root	De`troit	NO
root	`deuce	NO
root	deu`terium	NO
root	`deuteron	NO
root	`devastate	NO
root	de`velop	NO
root	`deviate	NO
root	de`vice	NO
root	`devil	NO
root	`devious	NO
root	de`vise	NO
root	de`void	NO
root	de`volve	NO
root	de`vote	NO
root	de`vour	NO
root	de`vout	NO
root	`dewar	NO
root	`dewdrop	NO
root	`dew	NO
root	`dexter	NO
root	`dexterous	NO
root	`dextrose	NO
root	`dextrous	NO
root	`dey	NO
root	`dharma	NO
root	`diabase	NO
root	dia`betes	NO
root	dia`betic	NO
root	dia`bolic	NO
root	di`achrony	NO
root	dia`critic	NO
root	`diadem	NO
root	di`aeresis	NO
root	diag`nose	NO
root	diag`nosis	NO
root	di`agonal	NO
root	`diagram	NO
root	`dialect	NO
root	dialec`tology	NO
root	`dial	NO
root	`dialog	NO
root	`dialogue	NO
root	di`alysis	NO
root	dia`magnetic	NO
root	di`ameter	NO
root	`diamond	NO
root	`diaper	NO
root	di`aphanous	NO
root	`diaphragm	NO
root	diar`rhea	NO
root	diar`rhoea	NO
root	`diary	NO
root	dia`tetics	NO
root	`diathermy	NO
root	diato`maceous	NO
root	dia`tonic	NO
root	`diatribe	NO
root	`dibble	NO
root	`dice	NO
root	di`chotomy	NO
root	`dickcissel	NO
root	`dickens	NO
root	`dickey	NO
root	`dick	NO
root	dicoty`ledon	NO
root	`dictate	NO
root	`dictionary	NO
root	`diction	NO
root	`dictum	NO
root	di`dactic	NO
root	`diddle	NO
root	`diehard	NO
root	`diem	NO
root	`die	NO
root	di`eresis	NO
root	`diesel	NO
root	diethylstil`bestrol	NO
root	`diet	NO
root	differ`ential	NO
root	`different	NO
root	`differ	NO
root	`difficult	NO
root	`diffident	NO
root	dif`fract	NO
root	diffrac`tometer	NO
root	dif`fuse	NO
root	di`fluoride	NO
root	`digest	NO
root	di`gest	NO
root	digi`talis	NO
root	`digitate	NO
root	`digit	NO
root	`dignify	NO
root	`dignitary	NO
root	`dignity	NO
root	`dig	NO
root	`digram	NO
root	di`gress	NO
root	di`hedral	NO
root	di`lapidate	NO
root	`dilate	NO
root	`dilatory	NO
root	di`lemma	NO
root	`dilettante	NO
root	`diligent	NO
root	`dill	NO
root	di`logarithm	NO
root	`diluent	NO
root	di`lute	NO
root	di`luvial	NO
root	di`luvian	NO
root	`dime	NO
root	di`mension	NO
root	di`methyl	NO
root	di`minish	NO
root	diminutive	NO
root	`dim	NO
root	`dimple	NO
root	`Dinah	NO
root	`dine	NO
root	`dinghy	NO
root	`ding	NO
root	`dingo	NO
root	`dingy	NO
root	`dinner	NO
root	`dinnertime	NO
root	`dinnerware	NO
root	`din	NO
root	`dinosaur	NO
root	`dint	NO
root	`diocese	NO
root	`diode	NO
root	Dio`nysus	NO
root	`diopter	NO
root	dio`rama	NO
root	di`oxide	NO
root	diph`theria	NO
root	`diphthong	NO
root	di`ploma	NO
root	`diplomat	NO
root	`dip	NO
root	di`rect	NO
root	di`rectorate	NO
root	di`rectory	NO
root	di`rectrix	NO
root	`dire	NO
root	`dirge	NO
root	`dirt	NO
root	`dirty	NO
root	dis`appoint	NO
root	di`saster	NO
root	dis`aster	NO
root	dis`burse	NO
root	`discard	NO
root	dis`card	NO
root	dis`cern	NO
root	dis`ciple	NO
root	`discipline	NO
root	`disc	NO
root	`discoid	NO
root	dis`comfit	NO
root	dis`concert	NO
root	`disco	NO
root	`discord	NO
root	`discount	NO
root	dis`count	NO
root	dis`courage	NO
root	`discourse	NO
root	dis`cover	NO
root	dis`creet	NO
root	dis`crepant	NO
root	dis`crete	NO
root	dis`cretion	NO
root	dis`criminate	NO
root	`discus	NO
root	dis`cuss	NO
root	dis`dain	NO
root	dis`gruntle	NO
root	dis`guise	NO
root	di`shevel	NO
root	`dish	NO
root	`dishwasher	NO
root	`dishwater	NO
root	disil`lusion	NO
root	dis`junct	NO
root	`disk	NO
root	`dismal	NO
root	dis`mantle	NO
root	dis`may	NO
root	dis`miss	NO
root	dis`parage	NO
root	`disparate	NO
root	dis`pel	NO
root	dis`pense	NO
root	dis`perse	NO
root	dis`play	NO
root	dis`pose	NO
root	dis`pute	NO
root	dis`quietude	NO
root	disqui`sition	NO
root	dis`rupt	NO
root	dis`sect	NO
root	dis`semble	NO
root	dis`seminate	NO
root	dis`sent	NO
root	`dissertate	NO
root	`dissipate	NO
root	dis`sociate	NO
root	`dissolute	NO
root	dis`solve	NO
root	`dissonant	NO
root	dis`suade	NO
root	`distaff	NO
root	`distal	NO
root	`distant	NO
root	dis`till	NO
root	dis`tinct	NO
root	dis`tinguish	NO
root	dis`tort	NO
root	dis`tract	NO
root	dis`traught	NO
root	dis`tress	NO
root	dis`tribute	NO
root	`district	NO
root	dis`turb	NO
root	di`sulfide	NO
root	`ditch	NO
root	`dither	NO
root	`ditto	NO
root	`ditty	NO
root	di`urnal	NO
root	di`valent	NO
root	`divan	NO
root	`diva	NO
root	`dive	NO
root	di`verge	NO
root	di`verse	NO
root	di`version	NO
root	di`vert	NO
root	di`vest	NO
root	`dividend	NO
root	di`vide	NO
root	di`vine	NO
root	di`vorce	NO
root	di`vulge	NO
root	`Dixieland	NO
root	`Dixie	NO
root	`dizzy	NO
root	Dja`karta	NO
root	Dji`bouti	NO
root	`docile	NO
root	`docket	NO
root	`dock	NO
root	`dockside	NO
root	`dockyard	NO
root	`doctor	NO
root	doctri`naire	NO
root	`doctrine	NO
root	`document	NO
root	dodeca`hedral	NO
root	dodeca`hedron	NO
root	`dodge	NO
root	`dodo	NO
root	`doe	NO
root	`doff	NO
root	`dogfish	NO
root	dog`gone	NO
root	`doghouse	NO
root	`dogleg	NO
root	`dogma	NO
root	`dog	NO
root	`dogtrot	NO
root	`dogwood	NO
root	`dolce	NO
root	`doldrums	NO
root	`doleful	NO
root	`dole	NO
root	`dollar	NO
root	`doll	NO
root	`dollop	NO
root	`dolly	NO
root	`dolomite	NO
root	`dolphin	NO
root	`dolt	NO
root	do`main	NO
root	`dome	NO
root	do`mestic	NO
root	`domicile	NO
root	`dominate	NO
root	domi`neer	NO
root	Do`minica	NO
root	do`minion	NO
root	`domino	NO
root	`donate	NO
root	`donkey	NO
root	`don	NO
root	`donnybrook	NO
root	`do	NO
root	do	NO
root	`donor	NO
root	`doodle	NO
root	`doom	NO
root	`doomsday	NO
root	`doorbell	NO
root	`doorkeep	NO
root	`doorknob	NO
root	`door	NO
root	`doorstep	NO
root	`doorway	NO
root	`dope	NO
root	`dormant	NO
root	`dormitory	NO
root	`dormouse	NO
root	`dorsal	NO
root	`dose	NO
root	do`simeter	NO
root	`dossier	NO
root	`dote	NO
root	`dot	NO
root	double`header	NO
root	`double	NO
root	`doublet	NO
root	`doubleton	NO
root	doub`loon	NO
root	`doubt	NO
root	`douce	NO
root	`dough	NO
root	`doughnut	NO
root	`doughty	NO
root	`dour	NO
root	`douse	NO
root	`dovekie	NO
root	`dove	NO
root	`Dover	NO
root	`dovetail	NO
root	`dowager	NO
root	`dowel	NO
root	`downbeat	NO
root	`downcast	NO
root	`downdraft	NO
root	`downfall	NO
root	`downgrade	NO
root	`downhill	NO
root	down`hill	NO
root	`download	NO
root	`down	NO
root	`downplay	NO
root	`downpour	NO
root	`downright	NO
root	down`river	NO
root	`downside	NO
root	`downsize	NO
root	`downslope	NO
root	`downspout	NO
root	down`stairs	NO
root	`downstate	NO
root	down`stream	NO
root	`downtown	NO
root	`downtrend	NO
root	`downtrodden	NO
root	`downturn	NO
root	`downward	NO
root	`downwards	NO
root	down`wind	NO
root	`dowry	NO
root	dox`ology	NO
root	`doxy	NO
root	`doyen	NO
root	`dozen	NO
root	`doze	NO
root	`drab	NO
root	`draft	NO
root	`draftsman	NO
root	`draftsperson	NO
root	`draggle	NO
root	`dragnet	NO
root	`drag	NO
root	`dragonfly	NO
root	`dragon	NO
root	dra`goon	NO
root	`drain	NO
root	`drake	NO
root	`drama	NO
root	`dramaturgy	NO
root	`dram	NO
root	`drape	NO
root	`drastic	NO
root	drat	NO
root	`draught	NO
root	`drawback	NO
root	`drawbridge	NO
root	`drawl	NO
root	`draw	NO
root	`dread	NO
root	`dreadnought	NO
root	`dreamboat	NO
root	`dream	NO
root	`drear	NO
root	`dreary	NO
root	`dredge	NO
root	`dreg	NO
root	`dregs	NO
root	`drench	NO
root	`dressmake	NO
root	`dress	NO
root	`dribble	NO
root	`drib	NO
root	`drift	NO
root	`drill	NO
root	`drink	NO
root	`drip	NO
root	`drive	NO
root	`driveway	NO
root	`drizzle	NO
root	Dr	NO
root	`droll	NO
root	`dromedary	NO
root	`drone	NO
root	`drool	NO
root	`droop	NO
root	`drop	NO
root	`dropout	NO
root	`dropsy	NO
root	dro`sophila	NO
root	`dross	NO
root	`drought	NO
root	`drove	NO
root	`drown	NO
root	`drowse	NO
root	`drub	NO
root	`drudge	NO
root	`drug	NO
root	`drugstore	NO
root	`druid	NO
root	`drumhead	NO
root	`drumlin	NO
root	`drum	NO
root	`drumstick	NO
root	`drunkard	NO
root	`drunk	NO
root	`dryad	NO
root	`dry	NO
root	`dubious	NO
root	`dubitable	NO
root	`Dublin	NO
root	`dub	NO
root	`ducat	NO
root	`duck	NO
root	`ductile	NO
root	`duct	NO
root	`ductwork	NO
root	`dud	NO
root	`duel	NO
root	`due	NO
root	du`et	NO
root	`duffel	NO
root	`duff	NO
root	`dugout	NO
root	`duke	NO
root	`dulcet	NO
root	`dull	NO
root	`dulse	NO
root	`duly	NO
root	`dumbbell	NO
root	`dumb	NO
root	`dummy	NO
root	`dump	NO
root	`dumpy	NO
root	`dunce	NO
root	`dune	NO
root	`dungeon	NO
root	`dung	NO
root	`dunk	NO
root	`dun	NO
root	du`opoly	NO
root	`dupe	NO
root	`duplex	NO
root	`duplicate	NO
root	du`plicity	NO
root	`durable	NO
root	du`ration	NO
root	`durative	NO
root	du`ress	NO
root	`during	NO
root	`dusk	NO
root	`dusky	NO
root	`dustbin	NO
root	`dust	NO
root	`Dutch	NO
root	`duty	NO
root	`dwarf	NO
root	`dwell	NO
root	`dwindle	NO
root	dy`adic	NO
root	`dyad	NO
root	`dye	NO
root	dy`namic	NO
root	`dynamism	NO
root	`dynamite	NO
root	`dynamo	NO
root	`dynast	NO
root	`dynasty	NO
root	`dyne	NO
root	`dysentery	NO
root	dys`function	NO
